60, 195
63, 219
67, 243
70, 266
77, 288
91, 306
110, 318
132, 328
156, 330
180, 327
199, 315
216, 300
229, 281
234, 259
236, 235
237, 210
236, 186
74, 173
83, 159
100, 152
118, 153
135, 158
165, 158
182, 152
200, 151
217, 158
226, 173
151, 179
153, 196
154, 213
155, 230
135, 243
145, 244
155, 246
164, 243
173, 241
95, 187
104, 182
115, 181
126, 187
116, 189
104, 190
175, 186
185, 179
196, 179
206, 185
197, 187
186, 187
114, 271
130, 266
144, 263
156, 265
167, 262
180, 264
194, 268
182, 278
168, 282
157, 283
145, 282
130, 279
120, 271
144, 271
156, 272
167, 271
190, 269
167, 272
156, 273
145, 273
