43, 184
43, 215
46, 246
51, 276
59, 304
77, 328
97, 349
120, 366
144, 371
168, 369
191, 354
212, 336
229, 312
239, 286
247, 257
253, 227
255, 196
63, 178
78, 168
98, 167
117, 172
137, 178
172, 179
192, 174
210, 172
228, 174
241, 186
154, 198
153, 219
153, 241
153, 262
130, 269
139, 274
150, 279
161, 276
171, 272
87, 195
99, 189
113, 190
124, 199
111, 200
98, 199
180, 202
192, 194
206, 194
217, 202
206, 205
193, 205
102, 290
119, 294
136, 294
148, 299
159, 297
174, 299
190, 300
173, 312
158, 317
145, 317
133, 314
117, 305
108, 294
135, 303
147, 306
159, 305
185, 303
158, 305
146, 306
134, 302
