36, 180
36, 205
39, 232
44, 257
53, 281
68, 303
85, 323
103, 337
127, 341
151, 337
175, 322
197, 302
216, 280
229, 254
233, 225
232, 195
230, 166
40, 162
45, 150
60, 145
77, 145
92, 149
125, 145
144, 138
164, 135
184, 140
196, 151
111, 169
110, 187
110, 205
110, 223
94, 236
104, 240
114, 241
125, 238
135, 234
59, 174
69, 165
83, 164
94, 174
84, 177
70, 178
139, 170
151, 159
164, 158
175, 165
167, 171
153, 172
88, 276
97, 266
108, 262
117, 264
129, 262
144, 265
157, 271
145, 282
131, 287
118, 288
109, 288
97, 285
94, 276
108, 273
117, 274
130, 272
150, 272
129, 273
117, 274
108, 275
