63, 194
65, 217
69, 240
72, 264
79, 286
93, 305
111, 321
133, 334
159, 337
183, 332
203, 315
219, 296
232, 276
238, 253
240, 230
242, 207
243, 183
74, 181
85, 168
103, 164
121, 165
140, 170
166, 170
183, 163
201, 160
220, 162
233, 174
155, 184
156, 202
156, 219
157, 237
136, 245
146, 249
157, 252
168, 247
177, 243
95, 190
105, 182
119, 181
130, 189
118, 193
105, 194
177, 188
188, 179
201, 178
212, 184
202, 189
189, 189
117, 273
132, 270
147, 267
158, 269
169, 265
184, 266
196, 268
186, 284
172, 292
161, 294
149, 293
133, 287
124, 275
147, 276
159, 277
170, 274
191, 271
171, 277
160, 280
148, 279
