67, 148
69, 171
73, 194
77, 216
84, 237
97, 254
114, 266
135, 274
157, 276
179, 272
196, 262
211, 249
221, 230
227, 209
229, 186
231, 163
232, 140
84, 132
92, 122
106, 117
119, 119
134, 123
163, 122
177, 116
192, 112
206, 115
217, 125
150, 136
152, 151
154, 164
155, 178
138, 193
146, 195
155, 196
163, 194
170, 191
100, 145
108, 138
117, 137
126, 142
118, 145
108, 146
172, 140
181, 134
191, 134
200, 139
192, 141
182, 141
124, 226
134, 218
146, 213
154, 215
162, 213
173, 216
183, 224
174, 233
164, 237
155, 237
146, 237
135, 234
129, 225
146, 221
154, 221
162, 221
178, 224
163, 225
155, 226
146, 226
