40, 189
45, 217
52, 244
60, 272
69, 298
86, 319
109, 337
135, 349
166, 350
196, 346
219, 331
238, 310
251, 285
256, 258
259, 229
263, 200
264, 171
58, 169
70, 150
91, 141
112, 143
134, 149
167, 146
189, 137
211, 133
233, 138
246, 157
154, 169
156, 186
158, 201
160, 219
138, 236
149, 239
160, 241
170, 238
180, 235
85, 182
96, 172
111, 171
124, 180
111, 186
96, 187
182, 177
194, 166
209, 165
221, 173
211, 180
196, 180
121, 276
136, 271
149, 268
159, 270
168, 267
183, 269
200, 273
185, 285
171, 289
161, 290
150, 289
137, 285
128, 277
150, 276
160, 277
169, 276
193, 275
169, 275
160, 276
150, 275
