number,name,link,image,position,club,birthplace,height,mv,age
6,Samican Keskin,214838,https://img.a.transfermarkt.technology/portrait/big/214838-1537721733.jpg,Central Midfield,Orduspor 1967 SK,Adana,172,50000,29
,Tolga Aktay,217972,https://img.a.transfermarkt.technology/portrait/big/217972-1479579286.jpeg,Left Midfield,,Adana,,,27
94,Can Demir Aktav,226271,https://img.a.transfermarkt.technology/portrait/big/226271-1543950847.jpg,Centre-Back,Cankaya FK,Adana,,75000,28
10,Ömer Bozan,230079,https://img.a.transfermarkt.technology/portrait/big/230079-1663626367.png,Attacking Midfield,Amed SK,Adana,,100000,35
,Isa Fuat Dayi,230080,https://img.a.transfermarkt.technology/portrait/big/230080-1645886031.png,midfield,Yataganspor,Adana,,,28
,Fatih Terim,239878,https://img.a.transfermarkt.technology/portrait/big/239878-1630502124.png,Sweeper,,Adana,172,,69
,Asim Atmalioglu,244530,https://img.a.transfermarkt.technology/portrait/big/244530-1659394642.jpg,Goalkeeper,,Adana,,,37
,Muhammet Savasci,244795,https://img.a.transfermarkt.technology/portrait/big/244795-1464477241.jpg,Centre-Forward,Düzkaya KOSK,Adana,,,38
5,Ahmet Tuna Akil,258221,https://img.a.transfermarkt.technology/portrait/big/258221-1632592296.png,Defensive Midfield,Ergene Velimese Spor,Adana,,,29
,Burak Can Kalender,268932,https://img.a.transfermarkt.technology/portrait/big/268932-1468444412.jpg,Attacking Midfield,Siverek Belediyespor,Adana,170,,27
,Fatih Mehmet Cakirtas,288892,https://img.a.transfermarkt.technology/portrait/big/288892-1470833211.jpg,Attacking Midfield,Kilimli Belediyespor,Adana,,,34
4,Dede Celik,288972,https://img.a.transfermarkt.technology/portrait/big/288972-1463771137.jpg,Centre-Back,Mus 1984 Musspor,Adana,,,34
,Firat Hekimoglu,289028,https://img.a.transfermarkt.technology/portrait/big/289028-1567719283.jpg,Left-Back,Demre Belediyespor,Adana,,,37
,Ömer Can Tamursoylu,291697,https://img.a.transfermarkt.technology/portrait/big/291697-1484399550.jpeg,Central Midfield,Adana Sümer 01 Spor,Adana,,,28
,Berk Tömek,291698,https://img.a.transfermarkt.technology/portrait/big/291698-1461515873.jpg,Centre-Forward,,Adana,176,,28
77,Emre Uruc,291701,https://img.a.transfermarkt.technology/portrait/big/291701-1603578722.jpg,Right-Back,Bayrampasa Spor,Adana,180,50000,28
,Yunus Ünsal,292796,https://img.a.transfermarkt.technology/portrait/big/292796-1602191132.jpg,Centre-Forward,Tokat Belediye Plevne Spor,Adana,,,28
,Ismail Kizilyer,293504,https://img.a.transfermarkt.technology/portrait/big/293504-1464477047.jpg,Left Winger,,Adana,182,,34
,Hakan Dogan,293862,https://img.a.transfermarkt.technology/portrait/big/293862-1468093434.jpg,Centre-Forward,Erdemli Belediyespor,Adana,,,32
,Yilmaz Dora,293863,https://img.a.transfermarkt.technology/portrait/big/293863-1466337238.jpg,Right-Back,,Adana,,,30
,Irfan Sezgin Selcuk,293880,https://img.a.transfermarkt.technology/portrait/big/293880-1464371833.jpg,Goalkeeper,,Adana,,,33
23,Abdulsamet Kirim,294018,https://img.a.transfermarkt.technology/portrait/big/294018-1664067946.png,Left-Back,Karaman FK,Adana,173,,29
,Atilla Calim,294285,https://img.a.transfermarkt.technology/portrait/big/294285-1467503623.jpg,Centre-Forward,,Adana,,,39
,Ramazan Koca,294531,https://img.a.transfermarkt.technology/portrait/big/294531-1611059180.jpg,Defensive Midfield,Tire Belediyespor,Adana,177,,26
,Burak Mazak,303597,https://img.a.transfermarkt.technology/portrait/big/303597-1472255288.jpg,Goalkeeper,Kilis Belediye Spor,Adana,192,,28
,Faruk Karadogan,305018,https://img.a.transfermarkt.technology/portrait/big/305018-1634985914.jpeg,Centre-Forward,,Adana,,,74
,Mahsun Aksoy,308693,https://img.a.transfermarkt.technology/portrait/big/308693-1473516492.jpg,Central Midfield,,Adana,,,29
,Ali Osman Antepli,308697,https://img.a.transfermarkt.technology/portrait/big/308697-1462575339.jpg,Defensive Midfield,,Adana,,,28
66,Sergen Ekinci,308739,https://img.a.transfermarkt.technology/portrait/big/308739-1639850435.png,Defensive Midfield,Ayvalikgücü Belediyespor,Adana,181,,28
8,Selcuk Öztürk,321384,https://img.a.transfermarkt.technology/portrait/big/321384-1537031428.jpg,Central Midfield,Nigde Anadolu FK,Adana,180,,24
70,Irfan Can Egribayat,322873,https://img.a.transfermarkt.technology/portrait/big/322873-1626634128.jpeg,Goalkeeper,Fenerbahce,Adana,193,2000000,24
,Firat Demir,333118,https://img.a.transfermarkt.technology/portrait/big/333118-1660258157.png,Right Winger,Tekirdagspor,Adana,178,,32
,Mustafa Afsaroglu,338117,https://img.a.transfermarkt.technology/portrait/big/338117-1462638975.jpg,Goalkeeper,,Adana,,,27
5,Ebu Siddik Celik,339064,https://img.a.transfermarkt.technology/portrait/big/339064-1567719912.jpg,Defensive Midfield,Batman Petrolspor,Adana,,100000,26
,Fatih Demircan,340357,https://img.a.transfermarkt.technology/portrait/big/340357-1466942658.jpg,Defensive Midfield,,Adana,,,35
,Mesut Gül,341912,https://img.a.transfermarkt.technology/portrait/big/341912-1463085824.jpg,Goalkeeper,,Adana,,,26
,Sezar Mangu,341922,https://img.a.transfermarkt.technology/portrait/big/341922-1643563868.png,Centre-Forward,Kusadasispor,Adana,,,26
,Abdulkadir Dilekci,341996,https://img.a.transfermarkt.technology/portrait/big/341996-1475954785.jpg,Left-Back,Merzifonspor,Adana,,,32
,Izzet Celik,349806,https://img.a.transfermarkt.technology/portrait/big/349806-1473516103.jpg,Left-Back,,Adana,,,25
