number,name,link,image,position,club,birthplace,height,mv,age
37,Alaattin Öner,820647,https://img.a.transfermarkt.technology/portrait/big/820647-1660428597.png,Attacking Midfield,Denizlispor,Denizli,,50000,18
,Mert Sarikus,820663,https://img.a.transfermarkt.technology/portrait/big/820663-1607267471.png,Left Winger,,Denizli,,25000,21
,Beytullah Dasel,864369,https://img.a.transfermarkt.technology/portrait/big/864369-1636645975.jpg,Left Winger,,Denizli,,,23
,Atakan Ordu,873532,https://img.a.transfermarkt.technology/portrait/big/873532-1625433622.jpeg,Goalkeeper,Galatasaray SK U19,Denizli,,,17
,Mehmet Ali Ulaman,876532,https://img.a.transfermarkt.technology/portrait/big/876532-1660428697.png,Right Winger,Denizlispor,Denizli,,50000,19
,Ferhat Erdogan,876831,https://img.a.transfermarkt.technology/portrait/big/876831-1620769518.jpeg,Defensive Midfield,Develi Spor,Denizli,,,21
1,Ertugrul Bag,880333,https://img.a.transfermarkt.technology/portrait/big/880333-1661697254.png,Goalkeeper,Mus 1984 Musspor,Denizli,190,,20
,Hasan Demir,91067,https://img.a.transfermarkt.technology/portrait/big/91067-1473110613.jpg,Centre-Back,Tavas Birlikspor,Denizli,,,40
,Bülent Ertugrul,7087,https://img.a.transfermarkt.technology/portrait/big/d_Y_s_7087_2007_1.jpg,Defensive Midfield,,Denizli,181,,44
,Levent Kartop,7107,https://img.a.transfermarkt.technology/portrait/big/s_7107_833_2010_1.jpg,Defensive Midfield,,Denizli,170,,43
,Suat Turan,1040921,https://img.a.transfermarkt.technology/portrait/big/1040921-1659741929.jpg,Defensive Midfield,,Diyarbakır,,,22
,Abdullah Cetin,10550,https://img.a.transfermarkt.technology/portrait/big/10550-1497982075.jpeg,Right-Back,Bismil 1936 Genclik Ve Spor,Diyarbakır,173,,38
33,Can Mizrak,1056775,https://img.a.transfermarkt.technology/portrait/big/1056775-1664104527.jpg,Centre-Back,Edirnespor,Diyarbakır,,,21
,Cihan Özer,114487,https://img.a.transfermarkt.technology/portrait/big/114487-1473796334.jpg,Centre-Forward,,Diyarbakır,,,36
21,Siddik Istemi,124058,https://img.a.transfermarkt.technology/portrait/big/124058-1609799488.jpg,Right Winger,Etimesgut Belediyespor,Diyarbakır,168,100000,31
,Sadettin Özer,144367,https://img.a.transfermarkt.technology/portrait/big/144367-1464550125.jpg,Centre-Forward,,Diyarbakır,185,,38
,Ilhan Kahraman,144495,https://img.a.transfermarkt.technology/portrait/big/144495-1469115950.jpg,Defender,,Diyarbakır,,,35
,Serhat Karadaban,144516,https://img.a.transfermarkt.technology/portrait/big/144516-1470420824.jpg,Centre-Forward,,Diyarbakır,,,34
,Sinan Demir,144999,https://img.a.transfermarkt.technology/portrait/big/144999-1464980598.jpg,Central Midfield,,Diyarbakır,,,36
,Vedat Budak,149668,https://img.a.transfermarkt.technology/portrait/big/149668-1463603402.jpg,Defensive Midfield,Sancaktepe FK,Diyarbakır,,,30
,Cemal Dogu,149978,https://img.a.transfermarkt.technology/portrait/big/149978-1537127164.jpg,Right Winger,,Diyarbakır,180,,32
,Irfan Ildiz,160043,https://img.a.transfermarkt.technology/portrait/big/160043-1475011174.jpg,Defensive Midfield,Baglar Belediyespor,Diyarbakır,175,,30
,Hasan Inci,160044,https://img.a.transfermarkt.technology/portrait/big/160044-1612224181.jpg,Defensive Midfield,Diyarbakir Yenisehir Belediyespor,Diyarbakır,,,32
,Mustafa Kuru,160052,https://img.a.transfermarkt.technology/portrait/big/160052-1462658266.jpg,Right Winger,,Diyarbakır,,,31
,Murat Kürüm,160053,https://img.a.transfermarkt.technology/portrait/big/160053-1463603011.jpg,attack,Bursa Dogugücü Spor,Diyarbakır,180,,30
,Hikmet Arslan,160136,https://img.a.transfermarkt.technology/portrait/big/160136-1473887723.jpg,Left-Back,,Diyarbakır,187,,30
,Mesut Aksit,169904,https://img.a.transfermarkt.technology/portrait/big/169904-1654438785.png,Centre-Back,,Diyarbakır,170,,40
,Ramazan Dolu,170263,https://img.a.transfermarkt.technology/portrait/big/170263-1561901757.jpg,attack,,Diyarbakır,,,29
,Yusuf Yagmur,170439,https://img.a.transfermarkt.technology/portrait/big/170439-1639219375.png,Left Winger,,Diyarbakır,,,35
10,Nezir Özer,170696,https://img.a.transfermarkt.technology/portrait/big/170696-1461435142.jpg,Centre-Forward,Yomra Spor,Diyarbakır,,,31
,Tugay Eren,176109,https://img.a.transfermarkt.technology/portrait/big/176109-1640478634.jpg,midfield,,Diyarbakır,,,32
,Suat Temircan,182328,https://img.a.transfermarkt.technology/portrait/big/182328-1470307915.jpg,Centre-Back,Mustafakemalpasaspor Belediye,Diyarbakır,,,28
,Bilal Dikici,184386,https://img.a.transfermarkt.technology/portrait/big/184386-1464987622.jpg,Defensive Midfield,,Diyarbakır,,,28
,Mehmet Kizil,188943,https://img.a.transfermarkt.technology/portrait/big/188943-1637437986.jpg,midfield,Diyarbakirspor,Diyarbakır,,,30
70,Dogan Karakus,200030,https://img.a.transfermarkt.technology/portrait/big/200030-1463153442.jpg,Centre-Forward,Diyarbekir Spor,Diyarbakır,177,75000,29
,Ibrahim Taskiran,205829,https://img.a.transfermarkt.technology/portrait/big/205829-1464369088.jpg,Centre-Back,Konya Ereglispor,Diyarbakır,,,32
,Kutluay Berber,208598,https://img.a.transfermarkt.technology/portrait/big/208598-1464389441.jpg,Central Midfield,,Diyarbakır,,,31
,Ömer Onay,211312,https://img.a.transfermarkt.technology/portrait/big/211312-1468489176.jpg,Defensive Midfield,,Diyarbakır,,,27
,Ibrahim Tekci,213193,https://img.a.transfermarkt.technology/portrait/big/213193-1487363439.jpeg,Goalkeeper,,Diyarbakır,,,32
1,Abdulaziz Demircan,230960,https://img.a.transfermarkt.technology/portrait/big/230960-1606406047.jpeg,Goalkeeper,Tarsus Idman Yurdu,Diyarbakır,193,150000,31
1,Gökhan Siverek,234314,https://img.a.transfermarkt.technology/portrait/big/234314-1659026204.png,Goalkeeper,Diyarbekir Spor,Diyarbakır,,50000,30
,Cihat Baykusak,248249,https://img.a.transfermarkt.technology/portrait/big/248249-1482008037.jpeg,midfield,Diyarbakir Kayapinar Belediye Spor,Diyarbakır,,,29
,Ömer Nazilli,248272,https://img.a.transfermarkt.technology/portrait/big/248272-1610052755.jpg,Left Winger,Kullar 1975 Spor,Diyarbakır,170,,28
25,Ramiz Ok,248274,https://img.a.transfermarkt.technology/portrait/big/248274-1600511499.jpg,Right-Back,Mardin 1969 Spor,Diyarbakır,180,,34
,Sercan Özdem,248277,https://img.a.transfermarkt.technology/portrait/big/248277-1461427205.jpg,Defensive Midfield,Diyarbakir Yenisehir Belediyespor,Diyarbakır,,,31
,Berat Bilen,248463,https://img.a.transfermarkt.technology/portrait/big/248463-1462657376.jpg,Goalkeeper,,Diyarbakır,,,28
,Ugir Gemgin Dünen,248467,https://img.a.transfermarkt.technology/portrait/big/248467-1587303655.png,Left Winger,Bismil 1936 Genclik Ve Spor,Diyarbakır,,,29
10,Ramazan Kaya,248477,https://img.a.transfermarkt.technology/portrait/big/248477-1461788176.jpg,Defensive Midfield,Mazidagi Fosfat Spor,Diyarbakır,174,,30
7,Hamit Kilic,248479,https://img.a.transfermarkt.technology/portrait/big/248479-1609795386.jpg,Right Winger,Mazidagi Fosfat Spor,Diyarbakır,,,28
,Abdullah Öztürk,248486,https://img.a.transfermarkt.technology/portrait/big/248486-1650747296.png,Defensive Midfield,,Diyarbakır,,,27
21,Serkan Yavuz,285439,https://img.a.transfermarkt.technology/portrait/big/285439-1601483367.jpeg,Right-Back,Corum FK,Diyarbakır,185,150000,26
,Agit Balmis,291659,https://img.a.transfermarkt.technology/portrait/big/291659-1464370389.jpg,Centre-Forward,,Diyarbakır,,,27
,Özgür Akinci,293269,https://img.a.transfermarkt.technology/portrait/big/293269-1473015176.jpg,Centre-Forward,,Diyarbakır,,,29
,Emrah Sansar,293693,https://img.a.transfermarkt.technology/portrait/big/293693-1466361870.jpg,Right Winger,,Diyarbakır,,,32
,Seyfettin Ural,294046,https://img.a.transfermarkt.technology/portrait/big/294046-1464371374.jpg,Defensive Midfield,Baglar Belediyespor,Diyarbakır,,,29
,Zülküf Elgörmüs,294175,https://img.a.transfermarkt.technology/portrait/big/294175-1658870933.png,Attacking Midfield,Firat Üniversitesi GSK,Diyarbakır,,,27
,Vedat Altas,294332,https://img.a.transfermarkt.technology/portrait/big/294332-1638614791.png,Defensive Midfield,Bitlis Özgüzelderespor,Diyarbakır,186,,28
,Necdet Sahin,296149,https://img.a.transfermarkt.technology/portrait/big/296149-1464370653.jpg,Goalkeeper,Sirnak Idmanyurdu Spor,Diyarbakır,,,39
,Muhammed Özbilen,298608,https://img.a.transfermarkt.technology/portrait/big/298608-1654727030.jpg,Centre-Forward,Karadeniz Eregli Belediye Spor,Diyarbakır,,,27
,Murat Günes,316024,https://img.a.transfermarkt.technology/portrait/big/316024-1660559632.jpg,Right Winger,Siverek Belediyespor,Diyarbakır,,,28
,Gökhan Ilhanli,338222,https://img.a.transfermarkt.technology/portrait/big/338222-1462657777.jpg,midfield,,Diyarbakır,,,27
,Veysel Karadag,339357,https://img.a.transfermarkt.technology/portrait/big/339357-1584824448.jpg,Left-Back,Silivrispor,Diyarbakır,,,24
21,Burhan Eser,33958,https://img.a.transfermarkt.technology/portrait/big/33958-1638059607.png,Right Winger,Isparta 32 Spor,Diyarbakır,180,100000,37
,Salih Kartal,339764,https://img.a.transfermarkt.technology/portrait/big/339764-1643495699.png,Defensive Midfield,Diyarbakirspor,Diyarbakır,,,36
,Abdullah Celen,339765,https://img.a.transfermarkt.technology/portrait/big/339765-1465236997.jpg,Right Winger,Cizre Serhat Spor,Diyarbakır,,,35
,Erhan Özdil,340050,https://img.a.transfermarkt.technology/portrait/big/340050-1464369210.jpg,Attacking Midfield,Dersim Spor,Diyarbakır,,,34
,Oktay Özer,342917,https://img.a.transfermarkt.technology/portrait/big/342917-1658411654.png,Defensive Midfield,Tekirdagspor,Diyarbakır,,,24
5,Ihsan Göktas,352979,https://img.a.transfermarkt.technology/portrait/big/352979-1662247608.png,Centre-Back,Erbaaspor,Diyarbakır,190,,28
,Kerem Kerimoglu,354392,https://img.a.transfermarkt.technology/portrait/big/354392-1565188949.jpeg,Right Winger,,Diyarbakır,174,,27
,Demhat Kaymaz,355828,https://img.a.transfermarkt.technology/portrait/big/355828-1659391261.png,Central Midfield,Siverek Belediyespor,Diyarbakır,,,25
,Ahmet Altinay,355829,https://img.a.transfermarkt.technology/portrait/big/355829-1584392319.jpg,Centre-Back,Viransehir Belediye Spor,Diyarbakır,,,26
,Sehmus Özer,37232,https://img.a.transfermarkt.technology/portrait/big/37232-1482316791.jpg,Centre-Forward,,Diyarbakır,175,,42
4,Mehmet Yesil,381689,https://img.a.transfermarkt.technology/portrait/big/381689-1601994020.jpeg,Centre-Back,Istanbulspor,Diyarbakır,188,700000,24
31,Abdullah Yigiter,393371,https://img.a.transfermarkt.technology/portrait/big/393371-1569428143.jpeg,Goalkeeper,Hatayspor,Diyarbakır,189,100000,22
,Mehmet Hacisadikoglu,396730,https://img.a.transfermarkt.technology/portrait/big/396730-1465238293.jpg,Goalkeeper,,Diyarbakır,,,30
,Vedat Kinik,396967,https://img.a.transfermarkt.technology/portrait/big/396967-1465237091.jpg,Centre-Back,Erganispor,Diyarbakır,,,34
,Mahsum Inanc,397817,https://img.a.transfermarkt.technology/portrait/big/397817-1521401515.jpg,Left-Back,Anamur Belediyespor,Diyarbakır,,,23
,Engin Baturay,398355,https://img.a.transfermarkt.technology/portrait/big/398355-1515802813.jpg,Defender,Van Yolspor,Diyarbakır,,,32
,Ferhat Aksu,418400,https://img.a.transfermarkt.technology/portrait/big/418400-1551295663.jpg,Centre-Forward,,Diyarbakır,183,,25
,Imdat Kilic,424375,https://img.a.transfermarkt.technology/portrait/big/424375-1661872390.png,Defensive Midfield,Siverek Belediyespor,Diyarbakır,184,,24
12,Hakan Yesil,433325,https://img.a.transfermarkt.technology/portrait/big/433325-1640445006.jpg,Defensive Midfield,Adanaspor,Diyarbakır,181,250000,20
,Yusuf Demir,447275,https://img.a.transfermarkt.technology/portrait/big/447275-1601410334.jpg,Centre-Forward,Erzincan Ulalar Spor,Diyarbakır,,,29
,Abdullah Bal,460975,https://img.a.transfermarkt.technology/portrait/big/460975-1632682056.jpg,Centre-Back,,Diyarbakır,,,23
,Berat Han,460976,https://img.a.transfermarkt.technology/portrait/big/460976-1521402050.jpg,Central Midfield,Boyabat 1868 Spor,Diyarbakır,,,22
,Muhammed Ali Özdemir,460977,https://img.a.transfermarkt.technology/portrait/big/460977-1521400958.jpg,Goalkeeper,Diyarbakirspor,Diyarbakır,188,,22
,Ibrahim Polat,462220,https://img.a.transfermarkt.technology/portrait/big/462220-1652912654.jpg,Right-Back,Mazidagi Fosfat Spor,Diyarbakır,,,31
,Abdulsamed Tuncay,462842,https://img.a.transfermarkt.technology/portrait/big/462842-1506246912.jpg,Right-Back,Kurtalan Spor,Diyarbakır,,,27
37,Eyüp Oskan,500089,https://img.a.transfermarkt.technology/portrait/big/500089-1604799064.jpeg,Right-Back,Erzurumspor FK,Diyarbakır,182,50000,19
21,Mahmut Tekdemir,54177,https://img.a.transfermarkt.technology/portrait/big/54177-1583153546.jpg,Defensive Midfield,Basaksehir FK,Diyarbakır,178,475000,34
,Ferat Yasar,556086,https://img.a.transfermarkt.technology/portrait/big/556086-1521400894.jpg,Centre-Back,Izmirspor,Diyarbakır,,,26
,Hakan Dogan,556420,https://img.a.transfermarkt.technology/portrait/big/556420-1546034933.jpg,attack,Cinar Belediyesi Spor,Diyarbakır,,,22
,Abdulhamit Yildiz,56837,https://img.a.transfermarkt.technology/portrait/big/56837-1540211041.jpg,Centre-Back,,Diyarbakır,188,50000,35
,Yakup Zengin,582056,https://img.a.transfermarkt.technology/portrait/big/582056-1552993971.jpg,Centre-Forward,Yesil Varto Spor,Diyarbakır,,,25
17,Muhlis Istemi,583897,https://img.a.transfermarkt.technology/portrait/big/583897-1640907964.png,Right Winger,Igdir FK,Diyarbakır,170,150000,22
,Baris Atas,58668,https://img.a.transfermarkt.technology/portrait/big/58668-1537018419.jpg,Defensive Midfield,,Diyarbakır,172,,35
,Melik Balkas,58674,https://img.a.transfermarkt.technology/portrait/big/58674-1471180107.jpg,Right Winger,,Diyarbakır,170,,36
,Caner Erdogan,58695,https://img.a.transfermarkt.technology/portrait/big/58695-1461427387.jpg,Attacking Midfield,Karakocangücü Spor,Diyarbakır,175,,36
,Abdullah Temircan,58739,https://img.a.transfermarkt.technology/portrait/big/58739-1463087084.jpg,Defensive Midfield,,Diyarbakır,181,,34
,Erhan Ölker,58755,https://img.a.transfermarkt.technology/portrait/big/58755-1467570325.jpg,Centre-Forward,Diyarbakir Kayapinar Belediye Spor,Diyarbakır,181,,36
91,Zülküf Özer,58919,https://img.a.transfermarkt.technology/portrait/big/58919-1521401005.jpg,Goalkeeper,Menemen FK,Diyarbakır,186,150000,34
31,Mahmut Nergiz,612081,https://img.a.transfermarkt.technology/portrait/big/612081-1652912274.jpeg,Goalkeeper,Mazidagi Fosfat Spor,Diyarbakır,,,25
21,Seyit Gazanfer,612082,https://img.a.transfermarkt.technology/portrait/big/612082-1601319943.jpg,Right-Back,Sanliurfaspor,Diyarbakır,180,,24
,Veysel Yavuzkir,612086,https://img.a.transfermarkt.technology/portrait/big/612086-1611343644.jpg,Defensive Midfield,Baglar Belediyespor,Diyarbakır,174,,26
21,Bünyamin Yürür,612087,https://img.a.transfermarkt.technology/portrait/big/612087-1556309277.jpg,Defensive Midfield,Tuzlaspor,Diyarbakır,181,125000,25
,Kadir Demir,612090,https://img.a.transfermarkt.technology/portrait/big/612090-1650747207.png,midfield,Cinar Belediyesi Spor,Diyarbakır,,,24
,Firat Yakistir,612352,https://img.a.transfermarkt.technology/portrait/big/612352-1603228458.jpg,Central Midfield,Izmirspor,Diyarbakır,177,,23
,Mahsum Döker,612401,https://img.a.transfermarkt.technology/portrait/big/612401-1643496206.png,Centre-Forward,Baglar Belediyespor,Diyarbakır,,,29
14,Muhammet Yesil,622002,https://img.a.transfermarkt.technology/portrait/big/622002-1611354536.jpg,Centre-Back,Karacabey Belediye Spor,Diyarbakır,190,100000,21
21,Ramazan Ceri,623517,https://img.a.transfermarkt.technology/portrait/big/623517-1632613562.jpg,Left-Back,Bayrampasa Spor,Diyarbakır,,,22
70,Aras Aydin,631916,https://img.a.transfermarkt.technology/portrait/big/631916-1662236331.jpg,Left-Back,Van Spor FK,Diyarbakır,184,10000,22
73,Muhammed Turantaylak,632020,https://img.a.transfermarkt.technology/portrait/big/632020-1610994857.jpg,Centre-Forward,Mardin 1969 Spor,Diyarbakır,,,21
21,Dogukan Efe,642552,https://img.a.transfermarkt.technology/portrait/big/642552-1610247186.jpg,Central Midfield,Ankaraspor,Diyarbakır,175,100000,21
,Baver Tangüner,649011,https://img.a.transfermarkt.technology/portrait/big/649011-1580904014.jpg,Attacking Midfield,,Diyarbakır,,,23
,Cetin Özer,651535,https://img.a.transfermarkt.technology/portrait/big/651535-1562871816.jpg,Centre-Forward,12 Bingöl Spor,Diyarbakır,,,26
3,Abdullah Tazgel,655905,https://img.a.transfermarkt.technology/portrait/big/655905-1618972047.jpeg,Left-Back,Bursaspor,Diyarbakır,182,50000,19
,Ahmet Das,668476,https://img.a.transfermarkt.technology/portrait/big/668476-1555945857.jpg,Right-Back,,Diyarbakır,,,22
1,Mehmet Salih Demircan,669422,https://img.a.transfermarkt.technology/portrait/big/669422-1556309202.jpg,Goalkeeper,Kusadasispor,Diyarbakır,190,,22
20,Seymen Yagmur,672757,https://img.a.transfermarkt.technology/portrait/big/672757-1584392597.jpg,Central Midfield,Diyarbekir Spor,Diyarbakır,185,25000,19
,Emrah Inanc,67573,https://img.a.transfermarkt.technology/portrait/big/67573-1479579863.jpeg,Attacking Midfield,Toroslar Belediyespor,Diyarbakır,,,32
8,Dijlan Aydin,683826,https://img.a.transfermarkt.technology/portrait/big/683826-1607499905.jpeg,Central Midfield,Istanbulspor,Diyarbakır,183,150000,22
,Cihan Haspolatli,6866,https://img.a.transfermarkt.technology/portrait/big/6866-1554045663.jpeg,Defensive Midfield,,Diyarbakır,184,,42
,Yusuf Karayel,697143,https://img.a.transfermarkt.technology/portrait/big/697143-1610249201.jpg,Goalkeeper,Ankaraspor,Diyarbakır,185,10000,21
,Melik Ejder Yücel,700067,https://img.a.transfermarkt.technology/portrait/big/700067-1618799380.png,Goalkeeper,Amasyaspor FK,Diyarbakır,192,50000,20
,Halit Cokyasar,700079,https://img.a.transfermarkt.technology/portrait/big/700079-1639419361.png,Attacking Midfield,Amed SK,Diyarbakır,,,20
,Yusuf Günes,701594,https://img.a.transfermarkt.technology/portrait/big/701594-1606647889.jpg,Goalkeeper,Imamaga Spor,Diyarbakır,190,,24
,Süleyman Can,701595,https://img.a.transfermarkt.technology/portrait/big/701595-1643495967.png,Right-Back,Siverek Belediyespor,Diyarbakır,,,29
,Ömer Erel,701608,https://img.a.transfermarkt.technology/portrait/big/701608-1607890333.jpg,Centre-Forward,Siverek Belediyespor,Diyarbakır,185,,25
,Batuhan Kara,701704,https://img.a.transfermarkt.technology/portrait/big/701704-1603308426.png,Centre-Forward,,Diyarbakır,189,,22
99,Alper Süren,701762,https://img.a.transfermarkt.technology/portrait/big/701762-1609858465.png,midfield,Burdur MAKÜ GSK,Diyarbakır,,,22
,Ömer Zeren,715467,https://img.a.transfermarkt.technology/portrait/big/715467-1582462965.jpg,Defensive Midfield,,Diyarbakır,172,,20
,Ercan Nasal,7199,https://img.a.transfermarkt.technology/portrait/big/7199-1467572897.jpg,Defensive Midfield,,Diyarbakır,182,,38
,Eren Yilmaz,726089,https://img.a.transfermarkt.technology/portrait/big/726089-1611276940.png,Goalkeeper,Manisa Sanayi Yildiz Spor,Diyarbakır,186,,21
,Emir Cakmak,728980,https://img.a.transfermarkt.technology/portrait/big/728980-1584888193.jpg,Goalkeeper,,Diyarbakır,182,,21
5,Mustafa Asan,76438,https://img.a.transfermarkt.technology/portrait/big/76438-1538226061.png,Central Midfield,Karsiyaka,Diyarbakır,170,,34
,Ferhat Ertukus,804695,https://img.a.transfermarkt.technology/portrait/big/804695-1599317418.jpg,Defender,Erzincan Ulalar Spor,Diyarbakır,,,23
11,Serdar Yigit,814569,https://img.a.transfermarkt.technology/portrait/big/814569-1606478047.jpg,Right Winger,Mazidagi Fosfat Spor,Diyarbakır,180,,23
9,Emrullah Sayar,814935,https://img.a.transfermarkt.technology/portrait/big/814935-1603303282.jpg,Centre-Forward,Diyarbekir Spor,Diyarbakır,187,100000,21
,Berat Demir,815188,https://img.a.transfermarkt.technology/portrait/big/815188-1660559849.png,Attacking Midfield,Siverek Belediyespor,Diyarbakır,173,,28
,Turgut Zengin,815190,https://img.a.transfermarkt.technology/portrait/big/815190-1602613013.jpg,Right Winger,Mazidagi Fosfat Spor,Diyarbakır,179,,26
,Erhan Bal,815414,https://img.a.transfermarkt.technology/portrait/big/815414-1600723923.jpg,Central Midfield,,Diyarbakır,184,,33
6,Mehmet Ali Tektas,819573,https://img.a.transfermarkt.technology/portrait/big/819573-1608230062.jpg,Defensive Midfield,Mazidagi Fosfat Spor,Diyarbakır,179,,24
,Furkan Karahan,820467,https://img.a.transfermarkt.technology/portrait/big/820467-1607464896.png,Right Winger,Bismil 1936 Genclik Ve Spor,Diyarbakır,176,,21
8,Cihan Akyar,824212,https://img.a.transfermarkt.technology/portrait/big/824212-1607285842.jpg,Attacking Midfield,Mazidagi Fosfat Spor,Diyarbakır,167,,21
,Yusuf Eren Aykiz,831923,https://img.a.transfermarkt.technology/portrait/big/831923-1643494611.png,Central Midfield,Diyarbakirspor,Diyarbakır,185,,21
28,Aziz Aztagac,855642,https://img.a.transfermarkt.technology/portrait/big/855642-1649197348.png,Goalkeeper,Amed SK,Diyarbakır,,10000,20
,Mehmet Nur Aslan,888737,https://img.a.transfermarkt.technology/portrait/big/888737-1660678417.png,Centre-Forward,Ünye 1957 Spor,Diyarbakır,,,19
,Ebubekir Makta,891784,https://img.a.transfermarkt.technology/portrait/big/891784-1660931738.png,Attacking Midfield,Adana Vefa Spor,Diyarbakır,,,19
,Engin Yagmur,906331,https://img.a.transfermarkt.technology/portrait/big/906331-1635005416.png,midfield,Araban Belediye Spor,Diyarbakır,,,28
7,Ahmet Ülük,913225,https://img.a.transfermarkt.technology/portrait/big/913225-1652133474.png,Right Winger,Alanya Kestelspor,Diyarbakır,177,,20
10,Haktan Orak,930794,https://img.a.transfermarkt.technology/portrait/big/930794-1635189812.png,Central Midfield,Malatya Arguvan Spor Kulübü,Diyarbakır,,,26
30,Yunus Tarhan,931369,https://img.a.transfermarkt.technology/portrait/big/931369-1649197575.png,Central Midfield,Amed SK,Diyarbakır,,25000,20
18,Ramazan Eren Demir,932843,https://img.a.transfermarkt.technology/portrait/big/932843-1659281391.jpg,Left Winger,Ankaraspor,Diyarbakır,183,50000,17
,Hasan Malaman,959567,https://img.a.transfermarkt.technology/portrait/big/959567-1643495500.png,Right Winger,Cizre Serhat Spor,Diyarbakır,,,23
,Muammer Emre Celik,959568,https://img.a.transfermarkt.technology/portrait/big/959568-1643494947.png,Right Winger,Cinar Belediyesi Spor,Diyarbakır,,,20
,Mesut Özkalkan,96547,https://img.a.transfermarkt.technology/portrait/big/96547-1464369527.jpg,Left Midfield,,Diyarbakır,177,,39
9,Bülent Cakmak,100186,https://img.a.transfermarkt.technology/portrait/big/100186-1464476455.jpg,Centre-Forward,Larnaka Gencler Birligi SK,Düzce,180,,43
,Burak Boz,117566,https://img.a.transfermarkt.technology/portrait/big/117566-1483285539.jpeg,Left-Back,,Düzce,,,36
,Ugur Kuru,144447,https://img.a.transfermarkt.technology/portrait/big/144447-1606405280.jpeg,Centre-Back,Arnavutköy Belediyesi Genclik Ve Spor,Düzce,176,125000,33
,Ramazan Aydin,200007,https://img.a.transfermarkt.technology/portrait/big/200007-1463603118.jpg,Goalkeeper,1966 Edremitspor,Düzce,,,36
81,Mehmet Bektas,268029,https://img.a.transfermarkt.technology/portrait/big/268029-1482943065.jpeg,Right Winger,GMG Kastamonuspor ,Düzce,,50000,27
81,Tarik Tekdal,292538,https://img.a.transfermarkt.technology/portrait/big/292538-1588245455.JPG,Centre-Back,Pendikspor,Düzce,186,100000,31
,Gökhan Hidir,294946,https://img.a.transfermarkt.technology/portrait/big/294946-1606862245.jpg,Centre-Back,1966 Edremitspor,Düzce,,,31
,Ahmet Sen,294976,https://img.a.transfermarkt.technology/portrait/big/294976-1605120560.jpg,Left Winger,Karamürselspor,Düzce,175,,34
,Dogukan Bayraktutar,331942,https://img.a.transfermarkt.technology/portrait/big/331942-1465598626.jpg,Left Winger,,Düzce,,,31
,Oguzhan Cimen,387949,https://img.a.transfermarkt.technology/portrait/big/387949-1537635926.jpg,Defensive Midfield,Aliaga FK,Düzce,177,,27
,Emir Efe Veli,458117,https://img.a.transfermarkt.technology/portrait/big/458117-1535997771.jpg,Goalkeeper,Beyköy Belediyespor,Düzce,184,,25
,Kasim Kilic,458118,https://img.a.transfermarkt.technology/portrait/big/458118-1663973887.png,Defender,1926 Bulancakspor,Düzce,,,27
26,Gökhan Süzen,54175,https://img.a.transfermarkt.technology/portrait/big/54175-1660316875.png,Left-Back,Denizlispor,Düzce,180,50000,35
,Ersin Veli,58748,https://img.a.transfermarkt.technology/portrait/big/58748-1463938407.jpg,Centre-Back,,Düzce,180,,40
,Oguzhan Özcan,667398,https://img.a.transfermarkt.technology/portrait/big/667398-1579376631.png,Centre-Forward,,Düzce,175,50000,21
,Batuhan Bayraktutar,670862,https://img.a.transfermarkt.technology/portrait/big/670862-1567719108.jpg,Defender,,Düzce,,,23
81,Hazar Can Genctürk,672023,https://img.a.transfermarkt.technology/portrait/big/672023-1567719334.jpg,Left-Back,Siirt Il Özel Idaresi Spor,Düzce,183,,22
28,Berkcan Cengiz,696659,https://img.a.transfermarkt.technology/portrait/big/696659-1659442422.jpg,Centre-Forward,Efeler 09 Spor FK,Düzce,182,,20
,Muhammet Ensar Uzun,703830,https://img.a.transfermarkt.technology/portrait/big/703830-1567896850.jpg,Centre-Forward,Carsambaspor,Düzce,181,,21
81,Osman Boz,815421,https://img.a.transfermarkt.technology/portrait/big/815421-1601405370.jpg,Defensive Midfield,Düzcespor,Düzce,,,23
,Emirhan Aydin,827136,https://img.a.transfermarkt.technology/portrait/big/827136-1603743799.jpg,midfield,Agri Vefa Spor,Düzce,,,20
,Serdar Özkan,8487,https://img.a.transfermarkt.technology/portrait/big/8487-1604337975.jpeg,Left Winger,,Düzce,177,25000,35
16,Yunus Emre Kefeli,849827,https://img.a.transfermarkt.technology/portrait/big/849827-1662646946.png,Left Winger,Pendikspor,Düzce,175,,18
22,Yigit Yilmaz,852810,https://img.a.transfermarkt.technology/portrait/big/852810-1610012272.jpg,Attacking Midfield,Modafen,Düzce,183,,18
,Kamil Güney,935454,https://img.a.transfermarkt.technology/portrait/big/935454-1637535710.png,Defensive Midfield,Düzcespor,Düzce,172,,20
,Ali Turap Bülbül,942940,https://img.a.transfermarkt.technology/portrait/big/942940-1653163256.jpeg,Right-Back,Galatasaray SK U19,Düzce,179,,17
81,Fatih Ceylan,17451,https://img.a.transfermarkt.technology/portrait/big/s_17451_833_2010_1.jpg,Left Midfield,Türkspor Neckarsulm,Düzce,180,,41
,Ferit Erisci,144397,https://img.a.transfermarkt.technology/portrait/big/144397-1540160233.jpg,Right-Back,1966 Edremitspor,Edirne,,,35
,Ali Serin,170242,https://img.a.transfermarkt.technology/portrait/big/170242-1463153136.jpg,Attacking Midfield,,Edirne,,,36
