66, 173
64, 198
64, 227
66, 254
71, 281
80, 305
94, 326
113, 341
140, 346
167, 344
191, 332
209, 314
223, 293
231, 268
236, 241
240, 213
243, 187
85, 165
94, 153
109, 150
125, 153
139, 160
166, 163
182, 160
197, 161
212, 167
221, 179
151, 179
149, 196
147, 212
146, 229
127, 236
135, 241
144, 244
155, 242
165, 239
99, 180
108, 174
120, 174
129, 184
118, 186
107, 185
172, 187
183, 180
195, 181
203, 189
194, 193
183, 191
112, 270
122, 262
133, 260
144, 262
155, 261
167, 265
178, 276
167, 285
154, 288
142, 288
131, 287
120, 282
117, 270
133, 267
143, 269
155, 268
173, 274
155, 276
143, 277
132, 275
