96, 122
97, 138
99, 153
102, 168
108, 183
117, 196
128, 207
142, 216
157, 219
171, 216
183, 207
193, 196
202, 183
207, 169
210, 153
212, 138
212, 121
107, 107
114, 99
125, 96
137, 98
147, 101
167, 99
177, 95
188, 94
198, 98
204, 107
157, 115
157, 125
157, 136
158, 147
147, 156
152, 158
158, 159
163, 158
168, 156
120, 119
127, 116
134, 115
141, 118
134, 120
127, 120
172, 118
179, 115
186, 115
192, 118
186, 120
179, 119
135, 175
144, 174
152, 172
158, 173
163, 172
171, 173
178, 175
171, 182
164, 186
158, 186
152, 186
144, 183
139, 176
152, 178
158, 179
164, 178
174, 176
164, 178
158, 178
152, 178
