46, 186
49, 212
54, 235
60, 260
68, 284
83, 303
103, 318
127, 328
153, 332
180, 329
202, 317
220, 301
233, 279
239, 254
244, 228
248, 201
248, 174
64, 161
76, 147
93, 142
113, 141
133, 144
170, 144
187, 140
206, 139
222, 145
232, 159
154, 165
156, 179
158, 192
160, 207
138, 226
148, 227
157, 228
164, 227
172, 225
85, 177
95, 169
108, 168
121, 174
109, 179
95, 180
177, 174
189, 167
203, 168
214, 175
203, 179
190, 178
116, 266
129, 254
143, 247
153, 249
163, 247
175, 254
187, 264
176, 271
164, 273
154, 273
143, 273
130, 271
123, 265
143, 257
153, 257
162, 257
181, 264
163, 262
153, 263
144, 263
